+-------+------------+----------------+
| Month |  Interest  |  Total Amount  |
+-------+------------+----------------+
| 1     | Rp 5200    | Rp 1305200     |
| 2     | Rp 5220    | Rp 1310420     |
| 3     | Rp 5241    | Rp 1315661     |
| 4     | Rp 5262    | Rp 1320923     |
| 5     | Rp 5283    | Rp 1326206     |
| 6     | Rp 5304    | Rp 1331510     |
| 7     | Rp 5326    | Rp 1336836     |
| 8     | Rp 5347    | Rp 1342183     |
| 9     | Rp 5368    | Rp 1347551     |
| 10    | Rp 5390    | Rp 1352941     |
| 11    | Rp 5411    | Rp 1358352     |
| 12    | Rp 5433    | Rp 1363785     |
| 13    | Rp 5455    | Rp 1369240     |
| 14    | Rp 5476    | Rp 1374716     |
| 15    | Rp 5498    | Rp 1380214     |
| 16    | Rp 5520    | Rp 1385734     |
| 17    | Rp 5542    | Rp 1391276     |
| 18    | Rp 5565    | Rp 1396841     |
| 19    | Rp 5587    | Rp 1402428     |
| 20    | Rp 5609    | Rp 1408037     |
| 21    | Rp 5632    | Rp 1413669     |
| 22    | Rp 5654    | Rp 1419323     |
| 23    | Rp 5677    | Rp 1425000     |
| 24    | Rp 5700    | Rp 1430700     |
| 25    | Rp 5722    | Rp 1436422     |
| 26    | Rp 5745    | Rp 1442167     |
| 27    | Rp 5768    | Rp 1447935     |
| 28    | Rp 5791    | Rp 1453726     |
| 29    | Rp 5814    | Rp 1459540     |
| 30    | Rp 5838    | Rp 1465378     |
| 31    | Rp 5861    | Rp 1471239     |
| 32    | Rp 5884    | Rp 1477123     |
| 33    | Rp 5908    | Rp 1483031     |
| 34    | Rp 5932    | Rp 1488963     |
| 35    | Rp 5955    | Rp 1494918     |
| 36    | Rp 5979    | Rp 1500897     |
| 37    | Rp 6003    | Rp 1506900     |
| 38    | Rp 6027    | Rp 1512927     |
| 39    | Rp 6051    | Rp 1518978     |
| 40    | Rp 6075    | Rp 1525053     |
| 41    | Rp 6100    | Rp 1531153     |
| 42    | Rp 6124    | Rp 1537277     |
| 43    | Rp 6149    | Rp 1543426     |
| 44    | Rp 6173    | Rp 1549599     |
| 45    | Rp 6198    | Rp 1555797     |
| 46    | Rp 6223    | Rp 1562020     |
| 47    | Rp 6248    | Rp 1568268     |
| 48    | Rp 6273    | Rp 1574541     |
| 49    | Rp 6298    | Rp 1580839     |
| 50    | Rp 6323    | Rp 1587162     |
| 51    | Rp 6348    | Rp 1593510     |
| 52    | Rp 6374    | Rp 1599884     |
| 53    | Rp 6399    | Rp 1606283     |
| 54    | Rp 6425    | Rp 1612708     |
| 55    | Rp 6450    | Rp 1619158     |
| 56    | Rp 6476    | Rp 1625634     |
| 57    | Rp 6502    | Rp 1632136     |
| 58    | Rp 6528    | Rp 1638664     |
| 59    | Rp 6554    | Rp 1645218     |
| 60    | Rp 6580    | Rp 1651798     |
| 61    | Rp 6607    | Rp 1658405     |
| 62    | Rp 6633    | Rp 1665038     |
| 63    | Rp 6660    | Rp 1671698     |
| 64    | Rp 6686    | Rp 1678384     |
| 65    | Rp 6713    | Rp 1685097     |
| 66    | Rp 6740    | Rp 1691837     |
| 67    | Rp 6767    | Rp 1698604     |
| 68    | Rp 6794    | Rp 1705398     |
| 69    | Rp 6821    | Rp 1712219     |
| 70    | Rp 6848    | Rp 1719067     |
+-------+------------+----------------+
