Report for 'Tester2' Saving Plan
+------------+-----------+----------------+
|    Date    |  Interest |  Total Amount  |
+------------+-----------+----------------+
| 1 -1 -2011 | Rp 1000   | Rp 101000      |
| 1 -2 -2011 | Rp 1000   | Rp 202000      |
| 1 -3 -2011 | Rp 1000   | Rp 303000      |
| 1 -4 -2011 | Rp 1000   | Rp 404000      |
| 1 -5 -2011 | Rp 1000   | Rp 505000      |
| 1 -6 -2011 | Rp 1000   | Rp 606000      |
| 1 -7 -2011 | Rp 1000   | Rp 707000      |
| 1 -8 -2011 | Rp 1000   | Rp 808000      |
| 1 -9 -2011 | Rp 1000   | Rp 909000      |
| 1 -10-2011 | Rp 1000   | Rp 1010000     |
| 1 -11-2011 | Rp 1000   | Rp 1111000     |
| 1 -12-2011 | Rp 1000   | Rp 1212000     |
| 1 -1 -2012 | Rp 1000   | Rp 1313000     |
| 1 -2 -2012 | Rp 1000   | Rp 1414000     |
| 1 -3 -2012 | Rp 1000   | Rp 1515000     |
| 1 -4 -2012 | Rp 1000   | Rp 1616000     |
| 1 -5 -2012 | Rp 1000   | Rp 1717000     |
| 1 -6 -2012 | Rp 1000   | Rp 1818000     |
| 1 -7 -2012 | Rp 1000   | Rp 1919000     |
| 1 -8 -2012 | Rp 1000   | Rp 2020000     |
| 1 -9 -2012 | Rp 1000   | Rp 2121000     |
| 1 -10-2012 | Rp 1000   | Rp 2222000     |
| 1 -11-2012 | Rp 1000   | Rp 2323000     |
| 1 -12-2012 | Rp 1000   | Rp 2424000     |
| 1 -1 -2013 | Rp 1000   | Rp 2525000     |
| 1 -2 -2013 | Rp 1000   | Rp 2626000     |
| 1 -3 -2013 | Rp 1000   | Rp 2727000     |
| 1 -4 -2013 | Rp 1000   | Rp 2828000     |
| 1 -5 -2013 | Rp 1000   | Rp 2929000     |
| 1 -6 -2013 | Rp 1000   | Rp 3030000     |
| 1 -7 -2013 | Rp 1000   | Rp 3131000     |
| 1 -8 -2013 | Rp 1000   | Rp 3232000     |
| 1 -9 -2013 | Rp 1000   | Rp 3333000     |
| 1 -10-2013 | Rp 1000   | Rp 3434000     |
| 1 -11-2013 | Rp 1000   | Rp 3535000     |
| 1 -12-2013 | Rp 1200   | Rp 3636200     |
| 1 -1 -2014 | Rp 1200   | Rp 3737400     |
| 1 -2 -2014 | Rp 1200   | Rp 3838600     |
| 1 -3 -2014 | Rp 1200   | Rp 3939800     |
| 1 -4 -2014 | Rp 1200   | Rp 4041000     |
| 1 -5 -2014 | Rp 1200   | Rp 4142200     |
| 1 -6 -2014 | Rp 1200   | Rp 4243400     |
| 1 -7 -2014 | Rp 1200   | Rp 4344600     |
| 1 -8 -2014 | Rp 1200   | Rp 4445800     |
| 1 -9 -2014 | Rp 1200   | Rp 4547000     |
+------------+-----------+----------------+
